state,notes,total_medicaid_enrollees,comprehensive_mco_with_or_without_mltss,pccm,mltss_only,bho_pihp_andor_pahp,dental,transportation,pace,other,year,pccm_entity
Oregon11,"Oregon’s enrollment in comprehensive MCOs includes beneficiaries in (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), or (3) a Mental Health Organization. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously. Plan-level enrollment is found in Report 5. ","1,062,787","847,570","-- ","-- ","-- ","-- ","-- ","1,392",--,2018,"-- "
Pennsylvania,,"2,897,085","2,352,627","-- ","-- ","896,466","-- ","622,053","6,650",151,2018,"-- "
"Puerto Rico",,"1,505,610","1,505,610","-- ","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
"Rhode Island",,"313,095","247,983","-- ","-- ","-- ","111,315","267,396",295,--,2018,"-- "
"South Carolina",,"1,195,703","745,469",558,"-- ","-- ","-- ","1,195,703",442,--,2018,"-- "
"South Dakota",,"123,890","-- ","92,184","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
Tennessee12,"Tennessee’s enrollment in comprehensive MCOs includes 1,241,360 beneficiaries who are also enrolled in an MCO plus Magellan Health Services for pharmacy benefits and 802,783 beneficiaries who are also enrolled in an MCO plus DentaQuest USA Insurance Company for dental services.","1,510,045","1,386,383","-- ","-- ","-- ","-- ","-- ",281,--,2018,"-- "
Texas,,"3,981,912","3,694,211","-- ","-- ","-- ","2,879,944","3,844,572","1,215",--,2018,"-- "
Utah,,"275,511","226,893","-- ","-- ","268,452","125,198","231,531","-- ",--,2018,"-- "
Vermont,,"174,682","123,310","-- ","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
"Virgin Islands",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018,n/a
Virginia,,"1,063,122","872,408","-- ","-- ","-- ","-- ","-- ","2,943",--,2018,"-- "
Washington,,"1,781,048","1,573,493","5,186","-- ","1,781,048","-- ","1,781,048",670,--,2018,"-- "
"West Virginia",,"505,528","407,193","-- ","-- ","-- ","-- ","-- ","-- ",--,2018,"-- "
Wisconsin,,"1,197,453","758,442","-- ","48,568","1,196","-- ","-- ",573,"3,141",2018,"-- "
Wyoming,,"58,390","-- ","-- ","-- ","-- ","-- ","-- ",136,0,2018,--
