state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Arkansas,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Total Life Healthcare",Statewide,8,250,258,2019,PACE
Arkansas,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Pace of the Ozarks",Statewide,1,30,31,2019,PACE
Arkansas,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Complete Health",Statewide,5,70,75,2019,PACE
California,,"Rady Children’s Hospital San Diego (RCHSD) (Comprehensive MCO)","Rady Children’s Hospital San Diego (RCHSD)","San Diego, Imperial, and Riverside Counties",363,0,363,2019,"Rady Children’s Hospital San Diego (RCHSD)"
California,,"Regional Model (Comprehensive MCO)","California Health & Wellness Plan/Imperial","Imperial County","59,078","2,849","61,927",2019,"Centene Corporation"
California,,"Regional Model (Comprehensive MCO)","California Health & Wellness Plan/Region 1","Butte, Colusa, Glenn, Plumas, Sierra, Sutter, and Tehama Counties","71,869","3,208","75,077",2019,"Centene Corporation"
California,,"Regional Model (Comprehensive MCO)","California Health & Wellness Plan/Region 2","Alpine, Amador, Calaveras, El Dorado, Inyo, Mariposa, Mono, Nevada, Placer, Tuolumne, and Yuba Counties","59,207","2,546","61,753",2019,"Centene Corporation"
California,,"Regional Model (Comprehensive MCO)","Molina Healthcare of CA Partner Plan/Imperial","Imperial County","13,372",907,"14,279",2019,"Molina Healthcare"
California,,"Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Region 1","Butte, Colusa, Glenn, Plumas, Sierra, Sutter, and Tehama Counties","60,128","2,492","62,620",2019,"Anthem Insurance Companies, Inc."
California,,"Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Region 2","Alpine, Amador, Calaveras, El Dorado, Inyo, Mariposa, Mono, Nevada, Placer, Tuolumne, and Yuba Counties","80,212","3,085","83,297",2019,"Anthem Insurance Companies, Inc."
California,,"Regional Model (Comprehensive MCO)","KP Cal LLC/Amador","Amador County",108,1,109,2019,"Kaiser Permanente"
California,,"Regional Model (Comprehensive MCO)","KP Cal LLC/El Dorado","El Dorado County","2,044",56,"2,100",2019,"Kaiser Permanente"
California,,"Regional Model (Comprehensive MCO)","KP Cal LLC/Placer","Placer County","7,646",262,"7,908",2019,"Kaiser Permanente"
California,,"Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/San Benito","San Benito County","7,760",86,"7,846",2019,"Anthem Insurance Companies, Inc."
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Blue Shield of California Promise/San Diego","San Diego County","66,406","14,754","81,160",2019,"Blue Shield of California"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Community Health Group Partnership Plan/San Diego","San Diego County","236,806","19,655","256,461",2019,"Community Health Group"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Health Net/San Diego","San Diego County","54,471","13,181","67,652",2019,"Centene Corporation"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","KP Cal LLC/San Diego","San Diego County","43,168","6,453","49,621",2019,"Kaiser Permanente"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Molina Healthcare of CA Partner Plan/San Diego","San Diego County","200,896","16,166","217,062",2019,"Molina Healthcare"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/San Diego","San Diego County","9,667",151,"9,818",2019,"Aetna Medicaid"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","UnitedHealthcare Community Plan/San Diego","San Diego County","10,913",280,"11,193",2019,UnitedHealthcare
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Sacramento","Sacramento County","169,442","8,343","177,785",2019,"Anthem Insurance Companies, Inc."
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Health Net/Sacramento","Sacramento County","100,278","5,859","106,137",2019,"Centene Corporation"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","KP Cal LLC/Sacramento","Sacramento County","80,425","7,385","87,810",2019,"Kaiser Permanente"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Molina Healthcare of CA Partner Plan/Sacramento","Sacramento County","47,121","3,524","50,645",2019,"Molina Healthcare"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/Sacramento","Sacramento County","7,227",170,"7,397",2019,"Aetna Medicaid"
California,,"Senior Care Action Network (SCAN) (Comprehensive MCO + MLTSS)","SCAN Health Plan/Los Angeles","Los Angeles County",0,"9,111","9,111",2019,"SCAN Health Plan"
California,,"Senior Care Action Network (SCAN) (Comprehensive MCO + MLTSS)","SCAN Health Plan Riverside/San Bernardino","Riverside and San Bernardino Counties",0,"4,249","4,249",2019,"SCAN Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/Kern","Kern County","63,483","3,158","66,641",2019,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/Los Angeles","Los Angeles County","819,355","135,060","954,415",2019,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/San Joaquin","San Joaquin County","19,609",594,"20,203",2019,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/Stanislaus","Stanislaus County","60,393","2,485","62,878",2019,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/Tulare","Tulare County","107,155","4,130","111,285",2019,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","CalViva Health/Fresno","Fresno County","280,662","11,587","292,249",2019,"CalViva Health"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","CalViva Health/Kings","Kings County","28,281","1,083","29,364",2019,"CalViva Health"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","CalViva Health/Madera","Madera County","36,010","1,184","37,194",2019,"CalViva Health"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Fresno","Fresno County","101,965","4,120","106,085",2019,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Kings","Kings County","18,656",612,"19,268",2019,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Madera","Madera County","19,002",582,"19,584",2019,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Alameda","Alameda County","56,042","2,808","58,850",2019,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Contra Costa","Contra Costa County","25,738",850,"26,588",2019,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/San Francisco","San Francisco County","15,658","2,429","18,087",2019,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Santa Clara","Santa Clara County","53,143","13,317","66,460",2019,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Tulare","Tulare County","89,579","3,438","93,017",2019,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Kern Family Health Care","Kern County","249,954","8,404","258,358",2019,"Kern Health Systems"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","L.A. Care Health Plan/Los Angeles","Los Angeles County","1,787,938","236,263","2,024,201",2019,"L.A. Care"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Contra Costa Health Plan","Contra Costa County","165,942","11,516","177,458",2019,"Contra Costa Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Alameda Alliance for Health","Alameda County","229,949","22,518","252,467",2019,"Alameda Alliance for Health"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Inland Empire Health Plan/Riverside","Riverside County","576,138","34,986","611,124",2019,"Inland Empire Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Inland Empire Health Plan/San Bernardino","San Bernardino County","583,610","35,032","618,642",2019,"Inland Empire Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Molina Healthcare of CA Partner Plan/Riverside","Riverside County","72,444","8,866","81,310",2019,"Molina Healthcare"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Molina Healthcare of CA Partner Plan/San Bernardino","San Bernardino County","59,102","7,178","66,280",2019,"Molina Healthcare"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","San Francisco Health Plan","San Francisco County","112,896","13,814","126,710",2019,"San Francisco Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Plan of San Joaquin/San Joaquin","San Joaquin County","201,410","10,145","211,555",2019,"Health Plan of San Joaquin"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Plan of San Joaquin/Stanislaus","Stanislaus County","123,773","4,609","128,382",2019,"Health Plan of San Joaquin"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Santa Clara Family Health Plan","Santa Clara County","209,100","30,529","239,629",2019,"Santa Clara Family Health Plan"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","CenCal Health/San Luis Obispo","San Luis Obispo County","45,268","6,387","51,655",2019,"CenCal Health"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","CenCal Health/Santa Barbara","Santa Barbara County","112,183","12,095","124,278",2019,"CenCal Health"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Health Plan of San Mateo","San Mateo County","93,364","8,906","102,270",2019,"Health Plan of San Mateo"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership HealthPlan of CA/Northeast","Lassen, Mocdoc, Shasta, Siskiyou, and Trinity Counties","76,220","13,842","90,062",2019,"Partnership HealthPlan of California"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership HealthPlan of CA/Northwest","Del Norte and Humboldt Counties","55,501","7,679","63,180",2019,"Partnership HealthPlan of California"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership Health Plan/Southeast","Napa, Solano and Yolo Counties","161,050","23,924","184,974",2019,"Partnership HealthPlan of California"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership Health Plan/Southwest","Lake, Marin, Mendocino and Sonoma Counties","180,558","28,179","208,737",2019,"Partnership HealthPlan of California"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Central California Alliance for Health/Merced","Merced County","109,463","10,971","120,434",2019,"Central California Alliance for Health"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Central California Alliance for Health/Monterey Santa Cruz","Monterey and Santa Cruz Counties","196,270","20,554","216,824",2019,"Central California Alliance for Health"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)",CalOptima/Orange,"Orange County","652,647","82,503","735,150",2019,CalOptima
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Gold Coast Health Plan/Ventura","Ventura County","174,139","21,813","195,952",2019,"Gold Coast Health Plan"
California,,"Family Mosaic Program/San Francisco (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Family Mosaic Project/San Francisco","San Francisco",26,0,26,2019,"San Francisco County"
California,,"Dental Managed Care/Los Angeles (Dental only (PAHP))","Health Net Dental Plan/Los Angeles","Los Angeles County","159,706","13,873","173,579",2019,"Health Net"
California,,"Dental Managed Care/Los Angeles (Dental only (PAHP))","Access Dental Plan/Los Angeles","Los Angeles County","131,959","12,942","144,901",2019,"Access Dental"
California,,"Dental Managed Care/Los Angeles (Dental only (PAHP))","LIBERTY Dental Plan/Los Angeles","Los Angeles County","56,930","5,376","62,306",2019,"LIBERTY Dental Plan"
California,,"Dental Managed Care/Sacramento (Dental only (PAHP))","Health Net Dental Plan/Sacramento","Sacramento County","120,953","6,970","127,923",2019,"Health Net"
California,,"Dental Managed Care/Sacramento (Dental only (PAHP))","Access Dental Plan/Sacramento","Sacramento County","120,708","6,401","127,109",2019,"Access Dental"
California,,"Dental Managed Care/Sacramento (Dental only (PAHP))","LIBERTY Dental Plan/Sacramento","Sacramento County","156,264","8,274","164,538",2019,"LIBERTY Dental Plan"
California,,"Positive Healthcare/Los Angeles (Other Prepaid Health Plan (PHP) (limited benefits))","Positive Healthcare/Los Angeles","Los Angeles County",293,302,595,2019,"AIDS Healthcare Foundation (AHF)"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Redwood Coast Pace/Humboldt","Humboldt County",15,156,171,2019,"Humboldt Senior Resource Center"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","San Diego PACE","San Diego County",140,374,514,2019,"San Diego PACE"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","St. Paul's PACE/San Diego","San Diego County",175,710,885,2019,"Community Eldercare of San Diego"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Sutter SeniorCare PACE/Sacramento","Sacramento County",51,327,378,2019,"Sutter Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","AltaMed Senior Buenacare/Los Angeles","Los Angeles County",629,"1,987","2,616",2019,"AltaMed Health Services Corporation"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Brandman Centers for Senior Care/Los Angeles","Los Angeles County",30,214,244,2019,"Brandman Centers for Senior Care"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","CalOptima PACE/Orange","Orange County",157,178,335,2019,CalOptima
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Alameda","Alameda County",76,588,664,2019,"Center for Elders Independence"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Center for Elders Independence/Contra Costa","Contra Costa County",20,78,98,2019,"Center for Elders Independence"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Fresno PACE","Fresno County",260,407,667,2019,"Central Valley Medical Services Corporation"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","InnovAge PACE/Riverside","Riverside County",35,156,191,2019,InnovAge
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","InnovAge PACE/San Bernardino County","San Bernardino County",108,422,530,2019,InnovAge
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Alameda","Alameda County",64,214,278,2019,"On Lok Lifeways"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/Santa Clara","Santa Clara County",54,246,300,2019,"On Lok Lifeways"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","On Lok Lifeways/San Francisco","San Francisco County",85,912,997,2019,"On Lok Lifeways"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Family Health Centers of San Diego","San Diego County",1,0,1,2019,"Family Health Centers of San Diego"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Gary and Mary West PACE of Northern San Diego","San Diego County",0,1,1,2019,"West Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Pacific PACE/Los Angeles","Los Angeles County",0,3,3,2019,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Stockton PACE/San Joaquin","San Joaquin County",15,51,66,2019,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Stockton PACE/Stanislaus","Stanislaus County",1,6,7,2019,"Welbe Health"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Denver Health Medicaid Choice (Comprehensive MCO)","Denver Health Medicaid Choice","Denver, Arapahoe, Adams, and Jefferson Counties","75,012","4,471","79,483",2019,"Denver Health Medical Plan"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative: Rocky Mountain Health Plans Prime (Comprehensive MCO)","Accountable Care Collaborative: Rocky Mountain Health Plans Prime","Garfield, Gunnison, Mesa, Montrose, Pitkin, and Rio Blanco Counties","29,410","4,045","33,455",2019,"Rocky Mountain Health Plans"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 1: Rocky Mountain Health Plans","Moffat, Routt, Jackson, Grand, Summit, Eagle, Garfield, Mesa, Delta, Pitkin, Gunnison, Montrose, Ouray, San Miguel, Hinsdale, Dolores, San Juan, Montezuma, La Plata, Archuleta, and Larimer Counties","131,442","8,232","139,674",2019,"United Health Plans"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 2: Northeast Health Partners","Cheyenne, Kit Carson, Lincoln, Logan, Morgan, Phillips, Sedgwick, Washington, Weld, and Yuma Counties","70,599","5,531","76,130",2019,"Northeast Health Partners"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 3: Colorado Access","Adams, Arapahoe, Douglas, and Elbert Counties","246,957","14,472","261,429",2019,"Colorado Access"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 4: Health Colorado, Inc.","Alamosa, Baca, Bent, Chaffee, Conejos, Costilla, Crowley, Custer, Fremont, Huerfano, Kiowa, Lake, Las  Animas, Mineral, Otero, Prowers, Pueblo, Rio Grande, and Saguache Counties","107,826","11,787","119,613",2019,"Health Colorado, Inc."
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 5: Colorado Access","Denver County","108,262","9,188","117,450",2019,"Colorado Access"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 6: Colorado Community Health Alliance","Boulder, Clear Creek, Gilpin, Broomfield, and Jefferson Counties","127,763","10,230","137,993",2019,"Colorado Community Health Alliance"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 7: Colorado Community Health Alliance","El Paso, Park, and Teller Counties","157,854","9,363","167,217",2019,"Colorado Community Health Alliance"
Colorado3,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported plan-level enrollment may be lower than actual enrollment.","Program of All-inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Rocky Mountain Health Care Services (PACE)","El Paso County",45,638,683,2019,"Rocky Mountain Health Care Services"
