state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Arkansas,,"Arkansas Dental Managed Care (Dental only (PAHP))","Delta Dental of Arkansas",Statewide,"286,363","26,682","313,045",2020,"Delta Dental"
Arkansas,,"Arkansas Dental Managed Care (Dental only (PAHP))","Managed Care of North America (MCNA) Dental",Statewide,"268,157","26,947","295,104",2020,"Managed Care of North America (MCNA), Inc."
Arkansas,,"Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)",Southeasttrans,"Randolph, Clay, Lawrence, Greene, Craighead, Mississippi, Poinsett, Cross, Crittenden, St. Francis, Faulkner, Pulaski, and Lonoke Counties","552,230","39,550","591,780",2020,Southeasttrans
Arkansas,,"Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Central Arkansas Development Council","Montgomery, Garland, Saline, Hot Springs, Clark, Pike, Sevier, Howard, Hempstead, Little River, Miller, Lafayette, Columbia, Quachita, Dallas, Calhoun, and Union Counties","133,403","10,066","143,469",2020,"Central Arkansas Development Council"
Arkansas,,"Arkansas Non-Emergency Medical Transport (Non-Emergency Medical Transportation)","Area Agency on Aging of Southeast Arkansas","Grant, Jefferson, Arkansas, Cleveland, Lincoln, Bradley, Drew, Desha, Chicot, and Ashley Counties","73,436","7,038","80,474",2020,"Area Agency on Aging of Southeast Arkansas"
Arkansas,,"Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Complete Health","72002, 72011, 72015, 72019, 72022, 72065, 72103, 72076, 72113, 72114, 72116, 72117, 72118, 72119, 72120, 72135, 72142, 72201, 72202, 72204, 72205, 72206, 72207, 72209, 72210, 72211, 72212, 72223, 72227, 72023, 72046, 72083, 72086,  72032, 72034, 72106, 72173",4,64,68,2020,PACE
Arkansas,,"Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Total Life Healthcare","72324, 72373, 72387, 72396, 72401, 72416, 72450, 72433, 72465, 72476, 72315, 72319, 72438, 72442, 72354, 72365, 72432, 72472, 72455, 72476, and all zip codes in Craighead County",5,216,221,2020,PACE
Arkansas,,"Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Pace of the Ozarks","72712, 72713, 72714, 72715, 72718, 72719, 72722, 72734, 72736, 72739, 72745, 72751, 72756, 72758, 72761, 72738, 72740, 72773, 72701, 72703, 72704, 72727, 72730, 72744, 72753, 72762, 72764, 72774, 72959",4,51,55,2020,PACE
California,,"Regional Model (Comprehensive MCO)","California Health & Wellness Plan/Imperial","Imperial County","60,178","3,006","63,184",2020,"Centene Corporation"
California,,"Regional Model (Comprehensive MCO)","California Health & Wellness Plan/Region 1","Butte, Colusa, Glenn, Plumas, Sierra, Sutter, and Tehama Counties","73,998","3,267","77,265",2020,"Centene Corporation"
California,,"Regional Model (Comprehensive MCO)","California Health & Wellness Plan/Region 2","Alpine, Amador, Calaveras, El Dorado, Inyo, Mariposa, Mono, Nevada, Placer, Tuolumne, and Yuba Counties","58,212","2,538","60,750",2020,"Centene Corporation"
California,,"Regional Model (Comprehensive MCO)","Molina Healthcare of CA Partner Plan/Imperial","Imperial County","13,487",891,"14,378",2020,"Molina Healthcare"
California,,"Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Region 1","Butte, Colusa, Glenn, Plumas, Sierra, Sutter, and Tehama Counties","60,779","2,333","63,112",2020,"Anthem Insurance Companies, Inc."
California,,"Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Region 2","Alpine, Amador, Calaveras, El Dorado, Inyo, Mariposa, Mono, Nevada, Placer, Tuolumne, and Yuba Counties","86,195","3,072","89,267",2020,"Anthem Insurance Companies, Inc."
California,,"Regional Model (Comprehensive MCO)","KP Cal LLC/Amador","Amador County",120,3,123,2020,"Kaiser Permanente"
California,,"Regional Model (Comprehensive MCO)","KP Cal LLC/El Dorado","El Dorado County","2,200",58,"2,258",2020,"Kaiser Permanente"
California,,"Regional Model (Comprehensive MCO)","KP Cal LLC/Placer","Placer County","8,508",254,"8,762",2020,"Kaiser Permanente"
California,,"Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/San Benito","San Benito County","8,197",104,"8,301",2020,"Anthem Insurance Companies, Inc."
California,,"Rady Children’s Hospital San Diego (RCHSD) (Comprehensive MCO)","Rady Children’s Hospital San Diego (RCHSD)","San Diego County, Imperial County, Riverside County",373,0,373,2020,"Rady Children’s Hospital San Diego (RCHSD)"
California,,"Positive Healthcare/Los Angeles (Comprehensive MCO)","Positive Healthcare/Los Angeles","Los Angeles County",346,286,632,2020,"AIDS Healthcare Foundation (AHF)"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Blue Shield of California Promise/San Diego","San Diego County","74,786","13,532","88,318",2020,"Blue Shield of California"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Community Health Group Partnership Plan/San Diego","San Diego County","241,338","16,666","258,004",2020,"Community Health Group"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Health Net/San Diego","San Diego County","56,867","11,216","68,083",2020,"Centene Corporation"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","KP Cal LLC/San Diego","San Diego County","44,332","6,207","50,539",2020,"Kaiser Permanente"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Molina Healthcare of CA Partner Plan/San Diego","San Diego County","198,890","11,923","210,813",2020,"Molina Healthcare"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/San Diego","San Diego County","14,055",170,"14,225",2020,"Aetna Medicaid"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","UnitedHealthcare Community Plan/San Diego","San Diego County","15,927",301,"16,228",2020,UnitedHealthcare
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Sacramento","Sacramento County","174,642","6,979","181,621",2020,"Anthem Insurance Companies, Inc."
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Health Net/Sacramento","Sacramento County","104,340","4,245","108,585",2020,"Centene Corporation"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","KP Cal LLC/Sacramento","Sacramento County","83,867","7,554","91,421",2020,"Kaiser Permanente"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Molina Healthcare of CA Partner Plan/Sacramento","Sacramento County","47,034","2,466","49,500",2020,"Molina Healthcare"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Aetna Better Health of CA/Sacramento","Sacramento County","10,592",189,"10,781",2020,"Aetna Medicaid"
California,,"Senior Care Action Network (SCAN) (Comprehensive MCO + MLTSS)","SCAN Health Plan/Los Angeles","Los Angeles County",0,"9,700","9,700",2020,"SCAN Health Plan"
California,,"Senior Care Action Network (SCAN) (Comprehensive MCO + MLTSS)","SCAN Health Plan Riverside/San Bernardino","Riverside County and San Bernardino County",0,"4,293","4,293",2020,"SCAN Health Plan"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","CenCal Health/San Luis Obispo","San Luis Obispo County","47,755","6,252","54,007",2020,"CenCal Health"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","CenCal Health/Santa Barbara","Santa Barbara County","118,892","11,545","130,437",2020,"CenCal Health"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Health Plan of San Mateo","San Mateo County","99,203","7,897","107,100",2020,"Health Plan of San Mateo"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership HealthPlan of CA/Northeast","Lassen, Modoc, Shasta, Siskiyou, Trinity Counties","79,372","13,686","93,058",2020,"Partnership HealthPlan of California"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership HealthPlan of CA/Northwest","Del Norte County and Humboldt County","57,473","7,431","64,904",2020,"Partnership HealthPlan of California"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership Health Plan/Southeast","Napa, Solano and Yolo Counties","167,513","22,753","190,266",2020,"Partnership HealthPlan of California"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership Health Plan/Southwest","Lake, Marin, Mendocino, and Sonoma Counties","184,386","26,673","211,059",2020,"Partnership HealthPlan of California"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Central California Alliance for Health/Merced","Merced County","114,358","10,900","125,258",2020,"Central California Alliance for Health"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Central California Alliance for Health/Monterey Santa Cruz","Monterey and Santa Cruz Counties","206,098","20,175","226,273",2020,"Central California Alliance for Health"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)",CalOptima/Orange,"Orange County","671,292","80,799","752,091",2020,CalOptima
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Gold Coast Health Plan/Ventura","Ventura County","181,500","21,865","203,365",2020,"Gold Coast Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/Kern","Kern County","62,904","2,906","65,810",2020,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/Los Angeles","Los Angeles County","822,794","121,895","944,689",2020,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/San Joaquin","San Joaquin County","19,328",547,"19,875",2020,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/Stanislaus","Stanislaus County","58,745","2,151","60,896",2020,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Net/Tulare","Tulare County","107,712","3,973","111,685",2020,"Centene Corporation"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","CalViva Health/Fresno","Fresno County","283,295","9,855","293,150",2020,"CalViva Health"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","CalViva Health/Kings","Kings County","29,616","1,070","30,686",2020,"CalViva Health"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","CalViva Health/Madera","Madera County","37,637","1,162","38,799",2020,"CalViva Health"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Fresno","Fresno County","106,785","3,471","110,256",2020,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Kings","Kings County","19,097",586,"19,683",2020,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Madera","Madera County","20,197",555,"20,752",2020,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Alameda","Alameda County","57,659","2,292","59,951",2020,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Contra Costa","Contra Costa County","26,930",720,"27,650",2020,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/San Francisco","San Francisco County","16,647","1,987","18,634",2020,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Santa Clara","Santa Clara County","56,007","11,415","67,422",2020,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Tulare","Tulare County","95,148","3,413","98,561",2020,"Anthem Insurance Companies, Inc."
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Kern Family Health Care","Kern County","264,239","8,266","272,505",2020,"Kern Health Systems"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","L.A. Care Health Plan/Los Angeles","Los Angeles County","1,861,784","218,754","2,080,538",2020,"L.A. Care"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Contra Costa Health Plan","Contra Costa County","170,993","10,160","181,153",2020,"Contra Costa Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Alameda Alliance for Health","Alameda County","236,420","19,043","255,463",2020,"Alameda Alliance for Health"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Inland Empire Health Plan/Riverside","Riverside County","607,641","30,787","638,428",2020,"Inland Empire Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Inland Empire Health Plan/San Bernardino","San Bernardino County","601,911","30,826","632,737",2020,"Inland Empire Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Molina Healthcare of CA Partner Plan/Riverside","Riverside County","76,878","7,731","84,609",2020,"Molina Healthcare"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Molina Healthcare of CA Partner Plan/San Bernardino","San Bernardino County","62,527","6,125","68,652",2020,"Molina Healthcare"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","San Francisco Health Plan","San Francisco County","118,504","12,990","131,494",2020,"San Francisco Health Plan"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Plan of San Joaquin/San Joaquin","San Joaquin County","204,894","8,408","213,302",2020,"Health Plan of San Joaquin"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Health Plan of San Joaquin/Stanislaus","Stanislaus County","130,097","4,267","134,364",2020,"Health Plan of San Joaquin"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Santa Clara Family Health Plan","Santa Clara County","223,434","26,128","249,562",2020,"Santa Clara Family Health Plan"
California,,"Family Mosaic Program/San Francisco (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Family Mosaic Project/San Francisco","San Francisco",7,0,7,2020,"San Francisco County"
California,,"Dental Managed Care/Los Angeles (Dental only (PAHP))","Health Net Dental Plan/Los Angeles","Los Angeles County","161,347","14,498","175,845",2020,"Health Net"
California,,"Dental Managed Care/Los Angeles (Dental only (PAHP))","Access Dental Plan/Los Angeles","Los Angeles County","121,115","12,738","133,853",2020,"Access Dental"
California,,"Dental Managed Care/Los Angeles (Dental only (PAHP))","LIBERTY Dental Plan/Los Angeles","Los Angeles County","57,651","5,505","63,156",2020,"LIBERTY Dental Plan"
California,,"Dental Managed Care/Sacramento (Dental only (PAHP))","Health Net Dental Plan/Sacramento","Sacramento County","127,393","7,446","134,839",2020,"Health Net"
California,,"Dental Managed Care/Sacramento (Dental only (PAHP))","Access Dental Plan/Sacramento","Sacramento County","121,209","6,714","127,923",2020,"Access Dental"
California,,"Dental Managed Care/Sacramento (Dental only (PAHP))","LIBERTY Dental Plan/Sacramento","Sacramento County","161,186","8,856","170,042",2020,"LIBERTY Dental Plan"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Redwood Coast Pace/Humboldt","Humboldt County",26,177,203,2020,"Humboldt Senior Resource Center"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","San Diego PACE","San Diego County",462,617,"1,079",2020,"San Diego PACE"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","St. Paul's PACE/San Diego","San Diego County",245,763,"1,008",2020,"Community Eldercare of San Diego"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Sutter SeniorCare PACE/Sacramento","Sacramento County",109,323,432,2020,"Sutter Valley Hospitals"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","AltaMed Senior Buenacare/Los Angeles","Los Angeles County",845,"2,029","2,874",2020,"AltaMed Health Services Corporation"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Brandman Centers for Senior Care/Los Angeles","Los Angeles County",48,212,260,2020,"Brandman Centers for Senior Care"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","CalOptima PACE/Orange","Orange County",200,179,379,2020,CalOptima
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Center for Elders Independence/Alameda","Alameda County",127,588,715,2020,"Center for Elders Independence"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Center for Elders Independence/Contra Costa","Contra Costa County",26,75,101,2020,"Center for Elders Independence"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Fresno PACE","Fresno County",554,300,854,2020,"Innovative Integrated Health, Inc."
California,,"Program of All-Inclusive Care for the Elderly (PACE)","InnovAge PACE/Riverside","Riverside County",56,189,245,2020,"Total Longterm Care, Inc."
California,,"Program of All-Inclusive Care for the Elderly (PACE)","InnovAge PACE/San Bernardino County","San Bernardino County",163,499,662,2020,"Total Longterm Care, Inc."
California,,"Program of All-Inclusive Care for the Elderly (PACE)","On Lok Lifeways/Alameda","Alameda County",109,163,272,2020,"On Lok Lifeways"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","On Lok Lifeways/Santa Clara","Santa Clara County",96,232,328,2020,"On Lok Lifeways"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","On Lok Lifeways/San Francisco","San Francisco County",120,870,990,2020,"On Lok Lifeways"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Family Health Centers of San Diego","San Diego County",25,26,51,2020,"Family Health Centers of San Diego"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Gary and Mary West PACE of Northern San Diego","San Diego County",15,61,76,2020,"West Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Pacific PACE/Los Angeles","Los Angeles County",32,63,95,2020,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Stockton PACE/San Joaquin","San Joaquin County",64,113,177,2020,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Stockton PACE/Stanislaus","Stanislaus County",6,12,18,2020,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Bakersfield PACE",Tulare,0,0,0,2020,"Innovative Integrated Health, Inc."
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Bakersfield PACE",Kern,46,16,62,2020,"Innovative Integrated Health, Inc."
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Central Valley PACE","Stanislaus County",0,0,0,2020,"Golden Valley Health Centers"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Central Valley PACE","San Joaquin County",0,0,0,2020,"Golden Valley Health Centers"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","InnovAge California PACE- El Dorado","El Dorado County",0,0,0,2020,"InnovAge California PACE- El Dorado"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","InnovAge California PACE- Placer","Placer County",0,1,1,2020,"InnovAge California PACE- Placer"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","InnovAge California PACE- Sacramento","Sacramento County",1,9,10,2020,"InnovAge California PACE- Sacramento"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","InnovAge California PACE- San Joaquin","San Joaquin County",0,0,0,2020,"InnovAge California PACE- San Joaquin"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","InnovAge California PACE- Sutter","Sutter County",0,0,0,2020,"InnovAge California PACE- Sutter"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","InnovAge California PACE- Yuba","Yuba County",0,0,0,2020,"InnovAge California PACE- Yuba"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Coastline PACE","Los Angeles County",4,13,17,2020,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Sequoia PACE","Fresno County",0,0,0,2020,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Sequoia PACE","Kings County",0,0,0,2020,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Sequoia PACE","Tulare County",0,0,0,2020,"Welbe Health"
California,,"Program of All-Inclusive Care for the Elderly (PACE)","Sequoia PACE","Madera County",0,0,0,2020,"Welbe Health"
Colorado2,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","Denver Health Medicaid Choice (Comprehensive MCO)","Denver Health Medicaid Choice (DHMC)","Denver, Arapahoe, Adams, and Jefferson counties","84,912","4,755","89,667",2020,"Denver Health Medical Plan"
Colorado2,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative: Rocky Mountain Health Plans Prime (Comprehensive MCO)","Accountable Care Collaborative: Rocky Mountain Health Plans Prime","Garfield, Gunnison, Mesa, Montrose, Pitkin, and Rio Blanco counties","34,748","4,954","39,702",2020,"Rocky Mountain Health Plans"
Colorado2,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 1: Rocky Mountain Health Plans","Moffat, Routt, Jackson, Grand, Summit, Eagle, Garfield, Mesa, Delta, Pitkin, Gunnison, Montrose, Ouray, San Miguel, Hinsdale, Dolores, San Juan, Montezuma, La Plata, Archuleta, and Larimer counties","140,563","8,073","148,636",2020,"United Health Plans"
Colorado2,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 2: Northeast Health Partners","Cheyenne, Kit Carson, Lincoln, Logan, Morgan, Phillips, Sedgwick, Washington, Weld, and Yuma counties","75,702","5,761","81,463",2020,"Northeast Health Partners"
Colorado2,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 3: Colorado Access","Adams, Arapahoe, Douglas, and Elbert counties","268,239","15,395","283,634",2020,"Colorado Access"
Colorado2,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 4: Health Colorado, Inc.","Alamosa, Baca, Bent, Chaffee, Conejos, Costilla, Crowley, Custer, Fremont, Huerfano, Kiowa, Lake, Las  Animas, Mineral, Otero, Prowers, Pueblo, Rio Grande, and Saguache counties","113,066","12,294","125,360",2020,"Health Colorado, Inc."
Colorado2,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 5: Colorado Access","Denver county","110,921","10,278","121,199",2020,"Colorado Access"
Colorado2,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","Accountable Care Collaborative (ACC) (Primary Care Case Management Entity (PCCM Entity))","RAE 6: Colorado Community Health Alliance","Boulder, Clear Creek, Gilpin, Broomfield, and Jefferson counties","140,377","10,772","151,149",2020,"Colorado Community Health Alliance"
