state,notes,program_name,plan_name,geographic_region,medicaidonly_enrollment,dual_enrollment,total_enrollment,year,parent_organization
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","Mercy Maricopa Integrated Care","Maricopa County",13307,7739,21046,2017,"Mercy Care Plan/Maricopa Integrated Health Systems(MIHS)"
Missouri,,"MO Healthnet Managed Care/1915b (Comprehensive MCO)","Home State Health Western","Bates, Cass, Cedar, Clay, Henry, Jackson, Johnson, Lafayette, Platte, Polk, Ray, St Clair, and Vernon",56180,0,56180,2017,Centene
Florida,,"Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Hope Select Care","Collier, Charlotte, and Lee counties",313,9,322,2017,"Hope Healthcare"
California,,"County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS)","Partnership HealthPlan of CA/Lassen","Lassen County",6525,955,7480,2017,"Partnership HealthPlan of California"
California,,"Health Plan of San Mateo CCS Demo/San Mateo (Comprehensive MCO)","Health Plan of San Mateo CCS Demo","San Mateo County",1606,4,1610,2017,"Health Plan of San Mateo"
Louisiana,,"Dental Benefit Management Program (Dental only (PAHP))",MCNA,Statewide,1386232,102899,1489131,2017,MCNA
Minnesota,,"Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS)","South Country Health","Brown, Dodge, Freeborn, Kanabec, Morrison, Sibley, Steele, Todd, Wabasha, Wadena, and Waseca County",37,873,910,2017,"South Country Health Alliance"
Pennsylvania,,"MATP (Medical Assistance Transportation Program) (Non-Emergency Medical Transportation)",Logisticare,"Philadelphia  County",546802,75251,622053,2017,N/A
Pennsylvania,,"PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE York H-0819","York and Dauphin counties",5,164,169,2017,"Senior LIFE"
Idaho,,"Idaho Behavioral Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Optum Idaho",Statewide,266072,24391,290463,2017,"United Healthcare"
Virginia,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Blue Ridge Pace","22723, 22901, 22902, 22903, 22904, 22911, 22920, 22922, 22923, 22931, 22932, 22935, 22936, 22937, 22938, 22940, 22942, 22943, 22946, 22947, 22949, 22958, 22959, 22963, 22964, 22967, 22968, 22969, 22971, 22974, 22976 ,23022, 23024, 23055, 23065 ,23084, 23093, 23117, 24464, 24471, 24562, 24590",11,120,131,2017,"Dual consortium with Riverside Health and Jefferson Area Board of Aging"
Massachusetts,,"MassHealth Managed Care (Comprehensive MCO)",Celticare,"Statewide (excludes islands).",42256,0,42256,2017,"Centene Corporation"
Wisconsin,,"Care4Kids (Other Prepaid Health Plan (PHP) (limited benefits))","Children's Hospital of Wisconsin is contracted","Counties: Kenosha, Milwaukee, Ozaukee, Racine, Washington, Waukesha",3118,0,3118,2017,"Children's Hospital of Wisconsin"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Anthem Blue Cross Partnership Plan/Kings","Kings County",19386,575,19961,2017,"Anthem Insurance Companies, Inc."
Massachusetts,,"Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE))","Neighborhood PACE","02151, 02176, 02180, 02148, 02149, 02150, 02153, 02152, 02228",53,465,518,2017,"Neighborhood PACE"
California,,"Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS)","SCAN Health Plan (Nurs hm cert)/Riverside","Riverside County",0,543,543,2017,"SCAN Health Plan"
"South Carolina",,"Program for All-Inclusive for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Palmetto SeniorCare","Richland and Lexington county",33,256,289,2017,"Palmetto Health"
"New York",,"Medicaid Advantage Plus (Comprehensive MCO + MLTSS)","Village Care","New York City",0,0,0,2017,"Village Care"
Minnesota,,"Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS)","Blue Plus",Statewide,421,3533,3954,2017,"Blue Cross and Blue Shield of Minnesota"
Florida,,"Managed Medical Assistance Program (Comprehensive MCO)","Sunshine State Health Plan, Inc.","Regions 3, 4, 5, 6, 7, 8, 9, 10, and 11",464564,15507,480071,2017,Centene
Pennsylvania,,"HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Perry County HealthChoices","Perry county",6102,702,6804,2017,PerformCare
"New York",,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Fallon Health Weinberg","Erie County",4,90,94,2017,"Fallon Health Weinberg"
Texas,,"STAR (Comprehensive MCO)","Driscoll Children's Health Plan","Hidalgo SDA, Nueces SDA",152300,0,152300,2017,"Driscoll Children’s Hospital"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","Inland Empire Health Plan/San Bernardino","San Bernardino County",600465,33593,634058,2017,"Inland Empire Health Plan"
"New York",,"Medicaid Advantage Plus (Comprehensive MCO + MLTSS)",GuildNet,"New York City & Nassau, Suffolk counties",6,623,629,2017,GuildNet
"New York",,"Managed Long Term Care (MLTSS only (PIHP and/or PAHP))","Health Advantage/Elant Choice","Dutchess, Orange, Rockland counties",76,782,858,2017,"Health Advantage/Elant Choice"
Pennsylvania,,"PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE))","Senior LIFE Washington H-2992","Washington, Fayette, Greene counties",65,511,576,2017,"Senior LIFE"
Florida,,"Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Regions 1, 2, 3, 5, 6, 7, 8, 9, 10, and 11",6402,2976,9378,2017,"Anthem, Inc."
Pennsylvania,,"HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Lehigh County HealthChoices","Lehigh County",69701,8333,78034,2017,"Magellan Health"
Wisconsin,,"BadgerCare Plus (Comprehensive MCO)","Gundersen Health Plan","Counties: Buffalo, Crawford, Grant, Jackson, Juneau, La Crosse, Monroe, Richland, Sauk, Trempealeau, Vernon",16360,15,16375,2017,"Gundersen Health Plan"
Massachusetts,,"Senior Care Options (Comprehensive MCO + MLTSS)","Navicare HMO","Barnstable, Brisol, Essex, Franklin, Hampden, Middlesex, Norfolk, Plymouth, Suffolk, and Worcester Counties",328,5404,5732,2017,"Navicare HMO"
"South Carolina",,"South Carolina Managed Care Organizations (Comprehensive MCO)","WellCare of South Carolina",Statewide,85244,0,85244,2017,WellCare
Indiana,,"Hoosier Healthwise (Comprehensive MCO)",MDWise,Statewide,234600,2,234602,2017,"McLaren Health Care"
Michigan6,"Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.","Specialty Prepaid Inpatient Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Southwest Michigan Behavioral Health","Barry, Berrien, Branch, Calhoun, Cass, Kalamazoo, St. Joseph, Van Buren",194658,0,194658,2017,"Southwest Michigan Behavioral Health"
Alabama,,"Maternity Care Program (Other Prepaid Health Plan (PHP) (limited benefits))","Maternity Program","Statewide minus the following counties: Autuaga, Butler, Bullock, Crenshaw, Elmore, Lowdnes, Montgomery, Pike, Baldwin, Clarke, Conecuh, Covington, Escambia, Monroe and Washington",14848,0,14848,2017,"Alabama Medicaid Agency"
Pennsylvania,,"HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Cambria County HealthChoices","Cambria County",26447,3998,30445,2017,"Magellan Health"
Washington10,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.","Healthy Options - Blind Disabled (Comprehensive MCO)","Community Health Plan of Washington","Adams, Asotin, Benton, Chelan, Clark, Columbia, Cowlitz, Douglas, Ferry, Franklin,  Grant, Grays Harbor, Island, Jefferson, King, Kitsap, Kittitas, Klickitat, Lewis, Lincoln, Mason, Okanogan, Pacific, Pend Oreille, Pierce, San Juan, Skagit, Skamania, Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",17414,0,17414,2017,"Community Health Plan of Washington"
Minnesota,,"Special Needs Basic Care (SNBC) (Comprehensive MCO + MLTSS)","Hennepin Health","Hennepin County",1108,947,2055,2017,"Hennepin County"
Colorado,"Colorado reported plan level enrollment as 30 for plans that had less than 30 beneficiaires. As a result, plan level enrollment for the Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE plan and the Volunteers of America (VOANS) PACE DBA Senior Community Care plan may be slightly inflated.","Colorado Medicaid Community Behavioral Health Services Program (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Behavioral Healthcare Inc.","Adams, Arapahoe and Douglas Counties",304430,15673,320103,2017,"Behavioral Healthcare Inc."
Louisiana,,"Healthy Louisiana BHO (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Aetna Better Health",Statewide,2057,19608,21665,2017,Aetna
Oklahoma,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Valir PACE","73008 73140 73105 73121 73141 73155 73179 73106 73124 73142 73156 73184 73132 73179 73143 73157 73185 73165 73160 73108 73026 73003 73170 73109 73127 73146 73162 73190 73147 73163 73194 73013 73120 73112 73129 73025 73066 73113 73131 73149 73167 73196 73134 73150 73169 73198 73083 73102 73117 73084 73110  73103 73118 73137 73152 73173 73119 73139 73154 73178 73122 73012 73123 73153 73144 73116 73148 73034 73136 73120 73115 73107 73159 73111 73164 73101 73151 73130 73145 73125 73189 73128 73195 73114 73172 73104",13,146,159,2017,"Valir PACE"
Oregon7,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","Oregon Health Plan (OHP) (Comprehensive MCO)","Cascade Health Alliance","Klamath (97731, 97733, 97737, 97739, 97425 excluded) County",15678,747,16425,2017,"Cascade Health Alliance"
Washington10,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.","Behavioral Health Services Only (BHSO) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP))","Molina Health Care","Clark and Skamania",5322,0,5322,2017,Molina
Florida,,"Long-term Care Program (MLTSS only (PIHP and/or PAHP))","Molina Healthcare of Florida, Inc.","Regions 5, 6, and 11",491,5751,6242,2017,Molina
"New York",,"Managed Long Term Care (MLTSS only (PIHP and/or PAHP))",Integra,"New York City & Nassau, Suffolk, Westchester counties",809,5721,6530,2017,Integra
Texas,,"STAR (Comprehensive MCO)",Aetna,"Bexar SDA, Tarrant SDA",72673,0,72673,2017,"Aetna, Inc."
Utah,,"Choice of Health Care Delivery (Comprehensive MCO)","Health Choice","Beaver, Box Elder, Cache, Davis, Iron, Juab, Miller, Morgan, Rich, Salt Lake, Sanpete, Sevier, Summit, Tooele, Utah, Wasatch, Washington, and Weber counties",16715,1362,18077,2017,"Steward Health Care System"
Indiana,,"Hoosier Care Connect (Comprehensive MCO)",Anthem,Statewide,57299,394,57693,2017,"Anthem Insurance Companies"
Mississippi,,"Mississippi Coordinated Access Network (Comprehensive MCO)","Magnolia Health",Statewide,250836,0,250836,2017,Centene
Wisconsin,,"BadgerCare Plus (Comprehensive MCO)","Physicians Plus Health Plan","County: Dane",9743,8,9751,2017,"Physicians Plus Health Plan"
Kentucky,,"Kentucky Medicaid Managed Care (Comprehensive MCO)","WellCare of Kentucky",Statewide,416931,22063,438994,2017,WellCare
Michigan,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Great Lakes PACE","Arenac, Bay, Gratiot, Midland, Saginaw, Shiawassee, Tuscola",10,86,96,2017,"A & D Charitable Foundation"
Michigan,,"Managed Care Plan Division (Comprehensive MCO)","McLaren Health Plan","Alcona, Allegan, Alpena, Antrim, Arenac, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Clare, Clinton, Crawford, Eaton, Emmet, Genesee, Gladwin, Grand Traverse, Gratiot, Hillsdale, Huron, Ingham, Ionia, Iosco, Isabella, Jackson, Kalamazoo, Kalkaska, Kent, Lake, Lapeer, Leelanau, Lenawee, Livingston, Macomb, Manistee, Mason, Mecosta, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, St. Clair, St. Joseph, Sanilac, Shiawassee, Tuscola, VanBuren, Washtenaw, Wayne, Wexford.",199752,5618,205370,2017,"McLaren Health Plan"
Nebraska,,"Heritage Health (Comprehensive MCO)","WellCare of Nebraska",Statewide,75917,7211,83128,2017,"WellCare Health Plans, Inc"
Michigan,,"MI Choice (MLTSS only (PIHP and/or PAHP))","Valley Area Agency on Aging","Genesee, Lapeer, Shiawassee",39,344,383,2017,"Area Agencies on Aging"
"New Jersey",,"FIDE SNP (Comprehensive MCO + MLTSS)","WellCare Liberty D-SNP","Bergen, Essex, Hudson, Middlesex, Morris, Passaic, Somerset, and Union counties",0,1359,1359,2017,WellCare
California,,"Regional Model (Comprehensive MCO)","Anthem Blue Cross Partnership Plan/Sierra","Sierra County",375,24,399,2017,"Anthem Insurance Companies, Inc."
Texas,,"STAR+PLUS (Comprehensive MCO + MLTSS)","United Healthcare - Texas","Harris SDA, Jefferson SDA, Nueces SDA, Travis SDA, MRSA Central, MRSA Northeast",52473,63213,115686,2017,"United Healthcare - Texas"
California,,"Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS)","Care 1st Healthplan/San Diego","San Diego County",71068,14133,85201,2017,"Blue Shield of California"
Florida,,"Managed Medical Assistance Program (Comprehensive MCO)","Molina Healthcare of Florida, Inc.","Regions 1, 4, 6, 7, 8, 9, and 11",334585,11611,346196,2017,"Molina Healthcare of Florida, Inc."
"New Jersey",,"PACE (Program of All-inclusive Care for the Elderly (PACE))","LIFE at Lourdes","08002, 08003, 08004, 08007, 08009, 08012, 08021, 08026, 08029, 08030, 08031, 08033, 08034, 08035, 08043, 08045, 08049, 08059, 08078, 08081, 08083, 08084, 08091, 08095, 08099, 08101, 08102, 08103, 08104, 08105, 08106, 08107, 08108, 08109, 08110",25,193,218,2017,"Lourdes Health System"
Oregon7,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","Oregon Health Plan (OHP) (Comprehensive MCO)","Trillium Community Health Plan","Benton (97448, 97456 only), Douglas (97424, 97493, 97436, 97441, 97467, 97473 only), Lane, and Linn (97446 only) Counties",82142,4310,86452,2017,"Trillium Community Health Plan"
Michigan,,"Healthy Michigan Plan (Comprehensive MCO)","McLaren Health Plan","Alcona, Allegan, Alpena, Antrim, Arenac, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Clare, Clinton, Crawford, Eaton, Emmet, Genesee, Gladwin, Grand Traverse, Gratiot, Hillsdale, Huron, Ingham, Ionia, Iosco, Isabella, Jackson, Kalamazoo, Kalkaska, Kent, Lake, Lapeer, Leelanau, Lenawee, Livingston, Macomb, Manistee, Mason, Mecosta, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, St. Clair, St. Joseph, Sanilac, Shiawassee, Tuscola, Van Buren, Washtenaw, Wayne, Wexford.",64327,0,64327,2017,"McLaren Health Plan"
California,,"Regional Model (Comprehensive MCO)","California Health & Wellness/Placer","Placer County",8913,306,9219,2017,"Centene Corporation"
"North Carolina",,"Program of All Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Community CarePartners, Inc.","Serving the following zip codes in Buncombe and Henderson Counties: 28701, 28704, 28709, 28710, 28711, 28715, 28726, 28729, 28730, 28731, 28732, 28735, 28739, 28742, 28748, 28757, 28758, 28759, 28766, 28773, 28778, 28787, 28784, 28790, 28791, 28792, 28801, 28803, 28804, 28805, 28806, 28810",100,23,123,2017,"Community CarePartners, Inc."
Georgia4,"Georgia is unable to provide separate counts of Medicaid-only and dually eligible beneficiaries for their NEMT program. As a result, Medicaid-only and total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.","Non-Emergency Medical Transportation (NEMT) (Non-Emergency Medical Transportation)","Southeast Trans","Banks, Barrow, Bartow, Catoosa, Chattooga, Cherokee, Cobb, Dade, Dawson, Douglas, Fannin, Floyd, Forsyth, Franklin, Gilmer, Gordon, Habersham, Hall, Haralson, Jackson, Lumpkin, Morgan, Murray, Paulding, Pickens, Polk, Rabun, Stephens, Towns, Union, Walker, Walton, White,  Whitfield, Fulton, DeKalb, and Gwinnett Counites",731158,0,731158,2017,"Southeastrans, Inc. - Atlanta, GA     Atlanta, Georgia 30337"
Massachusetts,,"MassHealth Managed Care (Comprehensive MCO)","Health New England","Berkshire, Franklin, Hampden, Hampshire",62494,0,62494,2017,"Baystate Health"
Wisconsin,,"Family Care (MLTSS only (PIHP and/or PAHP))","Lakeland Care, Inc.","Counties: Brown, Calumet, Door, Florence, Fond du Lac, Forest, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Menominee, Oconto, Oneida, Outagamie, Portage, Shawano, Vilas, Waupaca, Winnebago, Wood",710,4084,4794,2017,"Lakeland Care, Inc."
Arkansas,,"PACE (Program of All-inclusive Care for the Elderly (PACE))",PACE,Statewide,209,0,209,2017,PACE
California,,"Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS)","SCAN Health Plan/Los Angeles","Los Angeles County",0,7274,7274,2017,"SCAN Health Plan"
Michigan,,"MI Choice (MLTSS only (PIHP and/or PAHP))","Area Agency on Aging of NW Michigan","Antrim, Benzie, Charlevoix, Emmet, Grand Traverse, Kalkaska, Leelanau, Manistee, Missaukee, Wexford",15,318,333,2017,"Area Agencies on Aging"
Illinois,,"Integrated Care Program (Comprehensive MCO + MLTSS)","Humana Health Plan","Lake, Cook, DuPage, Kane, Will and Kankakee counties",5112,0,5112,2017,Humana
"New York",,"Medicaid Managed Care (Comprehensive MCO + MLTSS)","MetroPlus Health Plan","New York City",380013,0,380013,2017,"Metroplus Health Plan"
"Puerto Rico",,"Medicare Platino (Comprehensive MCO)","MCS Advantage, Inc.",Statewide,0,103740,103740,2017,"MCS Advantage, Inc."
"New York",,"PACE (Program of All-inclusive Care for the Elderly (PACE))","Complete Senior Care","Niagara County",10,116,126,2017,"Complete Senior Care"
California,,"Two-Plan Model (Comprehensive MCO + MLTSS)","CalViva Health/Fresno","Fresno County",291765,10050,301815,2017,"CalViva Health"
Arizona,,"Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS)","United Healthcare Plan (MLTSS)","Apache, Coconino, LaPaz, Maricopa, Mohave, Navajo, Pima, S Cruz, Yavapai & Yuma Counties",1424,9164,10588,2017,"United Healthcare"
Colorado3,"Colorado reported plan level enrollment as 30 for plans that had less than 30 beneficiaires. As a result, plan level enrollment for the Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE plan and the Volunteers of America (VOANS) PACE DBA Senior Community Care plan may be slightly inflated.","Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE","Pueblo County",30,315,336,2017,"Total Community Options, Inc."
Texas,,"STAR (Comprehensive MCO)","Superior Health Plan","Bexar SDA, El Paso SDA, Hidalgo SDA, Lubbock SDA, MRSA Central, MRSA Northeast, MRSA West, Nueces SDA, Travis SDA",719578,0,719578,2017,"Superior Health Plan"
Texas,,"PACE (Program of All-inclusive Care for the Elderly (PACE))","The Basics at Jan Werner (Amarillo)","9015, 79101, 79102, 79103, 79104, 79106, 79107, 79108, 79109, 79110, 79111, 79118, 79119, 79121, 79124",3,120,123,2017,"The Basics at Jan Werner (Amarillo)"
Pennsylvania,,"HealthChoices - Physical Health (Comprehensive MCO)","UPMC for You, Inc.","Southwest, Lehigh/Capital, Northwest",407806,1645,409451,2017,"UPMC, Inc."
