state_abbreviation,state_name,report_date,state_expanded_medicaid,preliminary_updated,final_report,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_c640,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_9919,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application__fo_e28a,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations__footnotes,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment__footnotes,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_enrollment,total_medicaid_enrollment__footnotes,total_chip_enrollment,total_chip_enrollment__footnotes
AK,Alaska,04/01/2019,Y,U,Y,3368,"Includes Renewals and/or Redeterminations",0,,3368,"Includes Renewals and/or Redeterminations",3053,"Includes Renewals and/or Redeterminations; Includes CHIP",202,,3255,"Includes Renewals and/or Redeterminations",96593,,218972,,203524,,15448,
AK,Alaska,05/01/2019,Y,U,Y,3107,"Includes Renewals and/or Redeterminations",0,,3107,"Includes Renewals and/or Redeterminations",2675,"Includes Renewals and/or Redeterminations; Includes CHIP",113,,2788,"Includes Renewals and/or Redeterminations",97003,,220384,,204803,,15581,
AK,Alaska,06/01/2019,Y,U,Y,3108,"Includes Renewals and/or Redeterminations",0,,3108,"Includes Renewals and/or Redeterminations",2400,"Includes Renewals and/or Redeterminations; Includes CHIP",99,,2499,"Includes Renewals and/or Redeterminations",97672,,221746,,206033,,15713,
AK,Alaska,07/01/2019,Y,U,Y,3147,"Includes Renewals and/or Redeterminations",0,,3147,"Includes Renewals and/or Redeterminations",2693,"Includes Renewals and/or Redeterminations; Includes CHIP",157,,2850,"Includes Renewals and/or Redeterminations",97913,,223117,,207174,,15943,
AK,Alaska,08/01/2019,Y,U,Y,3183,"Includes Renewals and/or Redeterminations",0,,3183,"Includes Renewals and/or Redeterminations",2820,"Includes Renewals and/or Redeterminations; Includes CHIP",134,,2954,"Includes Renewals and/or Redeterminations",97472,,221946,,206020,,15926,
AK,Alaska,09/01/2019,Y,U,Y,2955,"Includes Renewals and/or Redeterminations",0,,2955,"Includes Renewals and/or Redeterminations",2197,"Includes Renewals and/or Redeterminations; Includes CHIP",131,,2328,"Includes Renewals and/or Redeterminations",97402,,221587,,205472,,16115,
AK,Alaska,10/01/2019,Y,U,Y,3274,"Includes Renewals and/or Redeterminations",0,,3274,"Includes Renewals and/or Redeterminations",2314,"Includes Renewals and/or Redeterminations; Includes CHIP",137,,2451,"Includes Renewals and/or Redeterminations",97434,,221675,,205320,,16355,
AK,Alaska,11/01/2019,Y,U,Y,2936,"Includes Renewals and/or Redeterminations",0,,2936,"Includes Renewals and/or Redeterminations",2601,"Includes Renewals and/or Redeterminations; Includes CHIP",190,,2791,"Includes Renewals and/or Redeterminations",97737,,222498,,205909,,16589,
AK,Alaska,12/01/2019,Y,U,Y,3283,"Includes Renewals and/or Redeterminations",0,,3283,"Includes Renewals and/or Redeterminations",2925,"Includes Renewals and/or Redeterminations; Includes CHIP",175,,3100,"Includes Renewals and/or Redeterminations",97820,,223065,,206423,,16642,
AK,Alaska,01/01/2020,Y,U,Y,4321,"Includes Renewals and/or Redeterminations",0,,4321,"Includes Renewals and/or Redeterminations",3232,"Includes Renewals and/or Redeterminations; Includes CHIP",125,,3357,"Includes Renewals and/or Redeterminations",98096,,223963,,207251,,16712,
AK,Alaska,02/01/2020,Y,U,Y,3811,"Includes Renewals and/or Redeterminations",0,,3811,"Includes Renewals and/or Redeterminations",3211,"Includes Renewals and/or Redeterminations; Includes CHIP",114,,3325,"Includes Renewals and/or Redeterminations",97379,,222941,,206251,,16690,
AK,Alaska,03/01/2020,Y,U,Y,3852,"Includes Renewals and/or Redeterminations",0,,3852,"Includes Renewals and/or Redeterminations",3309,"Includes Renewals and/or Redeterminations; Includes CHIP",137,,3446,"Includes Renewals and/or Redeterminations",98254,,224965,,208129,,16836,
AK,Alaska,04/01/2020,Y,U,Y,3041,"Includes Renewals and/or Redeterminations",0,,3041,"Includes Renewals and/or Redeterminations",3439,"Includes Renewals and/or Redeterminations; Includes CHIP",184,,3623,"Includes Renewals and/or Redeterminations",99035,,228270,,212183,,16087,
AK,Alaska,05/01/2020,Y,U,Y,2497,"Includes Renewals and/or Redeterminations",0,,2497,"Includes Renewals and/or Redeterminations",3407,"Includes Renewals and/or Redeterminations; Includes CHIP",213,,3620,"Includes Renewals and/or Redeterminations",98912,,230043,,214692,,15351,
AK,Alaska,06/01/2020,Y,U,Y,2844,"Includes Renewals and/or Redeterminations",0,,2844,"Includes Renewals and/or Redeterminations",3238,"Includes Renewals and/or Redeterminations; Includes CHIP",231,,3469,"Includes Renewals and/or Redeterminations",98792,,232069,,217484,,14585,
AK,Alaska,07/01/2020,Y,U,Y,2402,"Includes Renewals and/or Redeterminations",0,,2402,"Includes Renewals and/or Redeterminations",2081,"Includes Renewals and/or Redeterminations; Includes CHIP",127,,2208,"Includes Renewals and/or Redeterminations",98580,,233334,,219239,,14095,
AK,Alaska,08/01/2020,Y,U,Y,2737,"Includes Renewals and/or Redeterminations",0,,2737,"Includes Renewals and/or Redeterminations",1950,"Includes Renewals and/or Redeterminations; Includes CHIP",93,,2043,"Includes Renewals and/or Redeterminations",98804,,235261,,221414,,13847,
AK,Alaska,09/01/2020,Y,U,Y,2657,"Includes Renewals and/or Redeterminations",0,,2657,"Includes Renewals and/or Redeterminations",1944,"Includes Renewals and/or Redeterminations; Includes CHIP",95,,2039,"Includes Renewals and/or Redeterminations",99035,,236362,,222686,,13676,
AK,Alaska,10/01/2020,Y,U,Y,2849,"Includes Renewals and/or Redeterminations",0,,2849,"Includes Renewals and/or Redeterminations",2001,"Includes Renewals and/or Redeterminations; Includes CHIP",79,,2080,"Includes Renewals and/or Redeterminations",99443,,237786,,224338,,13448,
AK,Alaska,11/01/2020,Y,U,Y,3756,"Includes Renewals and/or Redeterminations",0,,3756,"Includes Renewals and/or Redeterminations",1976,"Includes Renewals and/or Redeterminations; Includes CHIP",120,,2096,"Includes Renewals and/or Redeterminations",99655,,238873,,225513,,13360,
AK,Alaska,12/01/2020,Y,U,Y,2620,"Includes Renewals and/or Redeterminations",0,,2620,"Includes Renewals and/or Redeterminations",2096,"Includes Renewals and/or Redeterminations; Includes CHIP",106,,2202,"Includes Renewals and/or Redeterminations",99940,,239981,,226591,,13390,
AK,Alaska,01/01/2021,Y,U,Y,2574,"Includes Renewals and/or Redeterminations",0,,2574,"Includes Renewals and/or Redeterminations",1543,"Includes Renewals and/or Redeterminations; Includes CHIP",71,,1614,"Includes Renewals and/or Redeterminations",100171,,241410,,228118,,13292,
AK,Alaska,02/01/2021,Y,U,Y,2795,"Includes Renewals and/or Redeterminations",0,,2795,"Includes Renewals and/or Redeterminations",1243,"Includes Renewals and/or Redeterminations; Includes CHIP",48,,1291,"Includes Renewals and/or Redeterminations",100499,,242991,,229755,,13236,
AK,Alaska,03/01/2021,Y,U,Y,2987,"Includes Renewals and/or Redeterminations",0,,2987,"Includes Renewals and/or Redeterminations",1543,"Includes Renewals and/or Redeterminations; Includes CHIP",67,,1610,"Includes Renewals and/or Redeterminations",100827,,244860,,231747,,13113,
AK,Alaska,04/01/2021,Y,U,Y,2536,"Includes Renewals and/or Redeterminations",0,,2536,"Includes Renewals and/or Redeterminations",1453,"Includes Renewals and/or Redeterminations; Includes CHIP",88,,1541,"Includes Renewals and/or Redeterminations",101494,,247180,,234147,,13033,
AK,Alaska,05/01/2021,Y,U,Y,2282,"Includes Renewals and/or Redeterminations",0,,2282,"Includes Renewals and/or Redeterminations",1837,"Includes Renewals and/or Redeterminations; Includes CHIP",115,,1952,"Includes Renewals and/or Redeterminations",101974,,248739,,235858,,12881,
AK,Alaska,06/01/2021,Y,U,Y,0,,0,,0,,0,,0,,0,,102501,,250285,,237500,,12785,
AK,Alaska,07/01/2021,Y,U,Y,2214,,0,,2214,,1519,,76,,1595,,102632,,251024,,238365,,12659,
AK,Alaska,08/01/2021,Y,U,Y,2379,,0,,2379,,1726,,70,,1796,,102819,,251977,,239402,,12575,
AK,Alaska,09/01/2021,Y,U,Y,2208,,0,,2208,,1500,,68,,1568,,102993,,252736,,240240,,12496,
AK,Alaska,10/01/2021,Y,U,Y,2430,,0,,2430,,1432,,54,,1486,,103391,,254169,,241822,,12347,
AK,Alaska,11/01/2021,Y,U,Y,2396,,0,,2396,,1696,,84,,1780,,103632,,255230,,242946,,12284,
AK,Alaska,12/01/2021,Y,U,Y,2214,,0,,2214,,1865,,93,,1958,,103707,,255746,,243455,,12291,
AK,Alaska,01/01/2022,Y,U,Y,2302,,0,,2302,,1749,,82,,1831,,104013,,257035,,244766,,12269,
AK,Alaska,02/01/2022,Y,U,Y,1965,,0,,1965,,1390,,43,,1433,,104139,,257691,,245489,,12202,
AK,Alaska,03/01/2022,Y,U,Y,2263,,0,,2263,,1592,,70,,1662,,104741,,259457,,247295,,12162,
AK,Alaska,04/01/2022,Y,U,Y,1869,,0,,1869,,1758,,94,,1852,,104729,,259971,,247976,,11995,
AK,Alaska,05/01/2022,Y,U,Y,2037,,0,,2037,,1481,,66,,1547,,104836,,260768,,248863,,11905,
AK,Alaska,06/01/2022,Y,U,Y,2006,,0,,2006,,1189,,66,,1255,,105193,,262031,,250149,,11882,
AK,Alaska,07/01/2022,Y,U,Y,1845,,0,,1845,,998,,50,,1048,,104920,,261816,,249966,,11850,
AK,Alaska,08/01/2022,Y,U,Y,1995,,0,,1995,,1217,,46,,1263,,105055,,262417,,250637,,11780,
AK,Alaska,09/01/2022,Y,U,Y,1497,,0,,1497,,963,,38,,1001,,105106,,262624,,250824,,11800,
AK,Alaska,10/01/2022,Y,U,Y,1686,,0,,1686,,1038,,40,,1078,,105017,,262586,,250772,,11814,
AK,Alaska,11/01/2022,Y,U,Y,1415,,0,,1415,,1543,,113,,1656,,105252,,263529,,251627,,11902,
AK,Alaska,12/01/2022,Y,U,Y,1287,,0,,1287,,1061,,73,,1134,,105143,,263656,,251726,,11930,
AL,Alabama,09/01/2013,N,U,Y,,,,,,,,,,,,,,,799176,,,,,
AL,Alabama,06/01/2017,N,U,Y,16449,,0,,16449,,25370,,3264,,28634,,629763,,888314,,731915,,156399,
AL,Alabama,07/01/2017,N,U,Y,17118,,0,,17118,,25313,,3352,,28665,,632822,,893193,,735619,,157574,
AL,Alabama,08/01/2017,N,U,Y,20055,,0,,20055,,30256,,4205,,34461,,633050,,893262,,734934,,158328,
AL,Alabama,09/01/2017,N,U,Y,18308,,0,,18308,,27798,,3592,,31390,,632920,,892651,,734507,,158144,
AL,Alabama,10/01/2017,N,U,Y,18913,,0,,18913,,28167,,4200,,32367,,634304,,894251,,735171,,159080,
AL,Alabama,11/01/2017,N,U,Y,17690,,0,,17690,,25298,,3781,,29079,,635937,,895732,,723068,,172664,
AL,Alabama,12/01/2017,N,U,Y,16429,,0,,16429,,23207,,2701,,25908,,635498,,894106,,721254,,172852,
AL,Alabama,01/01/2018,N,U,Y,19650,,0,,19650,,28689,,3182,,31871,,636831,,895960,,723460,,172500,
AL,Alabama,02/01/2018,N,U,Y,18090,,0,,18090,,27859,,2716,,30575,,640136,,898872,,722951,,175921,
AL,Alabama,03/01/2018,N,U,Y,19632,,0,,19632,,30340,,2623,,32963,,643948,,903458,,725440,,178018,
AL,Alabama,04/01/2018,N,U,Y,18348,,0,,18348,,27178,,2438,,29616,,644899,,904927,,726911,,178016,
AL,Alabama,05/01/2018,N,U,Y,19326,,0,,19326,,28625,,2577,,31202,,636042,,896225,,724919,,171306,
AL,Alabama,06/01/2018,N,U,Y,16859,,0,,16859,,24244,,2443,,26687,,635099,,895756,,724920,,170836,
AL,Alabama,07/01/2018,N,U,Y,20490,,0,,20490,,28274,,3002,,31276,,636789,,898978,,728206,,170772,
AL,Alabama,08/01/2018,N,U,Y,22186,,0,,22186,,31296,,3289,,34585,,639334,,901806,,730793,,171013,
AL,Alabama,09/01/2018,N,U,Y,19871,,0,,19871,,25818,,2964,,28782,,642309,,904670,,733114,,171556,
AL,Alabama,10/01/2018,N,U,Y,22130,,0,,22130,,16776,,2307,,19083,,647423,,910539,,737538,,173001,
AL,Alabama,11/01/2018,N,U,Y,18671,,0,,18671,,13468,,1994,,15462,,645907,,908877,,735982,,172895,
AL,Alabama,12/01/2018,N,U,Y,16919,,0,,16919,,12219,,1584,,13803,,643985,,906216,,733547,,172669,
AL,Alabama,01/01/2019,N,U,Y,20505,,0,,20505,,14957,,2510,,17467,,646832,,910087,,736866,,173221,
AL,Alabama,02/01/2019,N,U,Y,18173,,0,,18173,,14284,,2069,,16353,,649363,,912951,,739062,,173889,
AL,Alabama,03/01/2019,N,U,Y,18688,,0,,18688,,15347,,1967,,17314,,648513,,912015,,738636,,173379,
AL,Alabama,04/01/2019,N,U,Y,15057,,0,,15057,,14461,,1768,,16229,,644765,,909189,,736569,,172620,
AL,Alabama,05/01/2019,N,U,Y,12966,,0,,12966,,13388,,1542,,14930,,644147,,908668,,738228,,170440,
AL,Alabama,06/01/2019,N,U,Y,12752,,0,,12752,,13684,,1679,,15363,,647703,,911855,,739129,,172726,
AL,Alabama,07/01/2019,N,U,Y,13994,,0,,13994,,15219,,1966,,17185,,651212,,915545,,742180,,173365,
AL,Alabama,08/01/2019,N,U,Y,14285,,0,,14285,,15599,,2133,,17732,,653861,,918316,,744927,,173389,
AL,Alabama,09/01/2019,N,U,Y,13058,,0,,13058,,13775,,1861,,15636,,655164,,919209,,746462,,172747,
AL,Alabama,10/01/2019,N,U,Y,13367,,0,,13367,,13653,,1607,,15260,,657121,,920853,,748146,,172707,
AL,Alabama,11/01/2019,N,U,Y,11536,,0,,11536,,11792,,1610,,13402,,658526,,921376,,748187,,173189,
AL,Alabama,12/01/2019,N,U,Y,12103,,0,,12103,,12072,,1289,,13361,,658585,,921100,,747737,,173363,
AL,Alabama,01/01/2020,N,U,Y,14342,,0,,14342,,14602,,2006,,16608,,659696,,922592,,750907,,171685,
AL,Alabama,02/01/2020,N,U,Y,12237,,0,,12237,,13411,,1609,,15020,,660859,,923320,,751906,,171414,
AL,Alabama,03/01/2020,N,U,Y,12456,,0,,12456,,13302,,1530,,14832,,660575,,922989,,751960,,171029,
AL,Alabama,04/01/2020,N,U,Y,8280,,0,,8280,,9387,,940,,10327,,666508,,933842,,760612,,173230,
AL,Alabama,05/01/2020,N,U,Y,8167,,0,,8167,,9481,,1134,,10615,,671742,,943545,,768662,,174883,
AL,Alabama,06/01/2020,N,U,Y,9334,,0,,9334,,10274,,1372,,11646,,675900,,951984,,776672,,175312,
AL,Alabama,07/01/2020,N,U,Y,8349,,0,,8349,,9250,,1210,,10460,,679136,,959675,,785165,,174510,
AL,Alabama,08/01/2020,N,U,Y,8675,,0,,8675,,9875,,1372,,11247,,682839,,967364,,793459,,173905,
AL,Alabama,09/01/2020,N,U,Y,9291,,0,,9291,,10266,,1591,,11857,,687971,,976361,,801777,,174584,
AL,Alabama,10/01/2020,N,U,Y,8459,,0,,8459,,10667,,1493,,12160,,692395,,985152,,810126,,175026,
AL,Alabama,11/01/2020,N,U,Y,7250,,0,,7250,,8763,,1207,,9970,,696166,,993609,,818260,,175349,
AL,Alabama,12/01/2020,N,U,Y,7202,,0,,7202,,9131,,1123,,10254,,699862,,1001444,,825718,,175726,
AL,Alabama,01/01/2021,N,U,Y,7660,,0,,7660,,9424,,1599,,11023,,703633,,1009033,,832389,,176644,
AL,Alabama,02/01/2021,N,U,Y,6914,,0,,6914,,8854,,1241,,10095,,707174,,1015804,,838420,,177384,
AL,Alabama,03/01/2021,N,U,Y,7710,,0,,7710,,9336,,1407,,10743,,710710,,1023300,,844790,,178510,
AL,Alabama,04/01/2021,N,U,Y,7197,,0,,7197,,8740,,1247,,9987,,714890,,1031694,,851706,,179988,
AL,Alabama,05/01/2021,N,U,Y,6826,,0,,6826,,9642,,2958,,12600,,718589,,1038830,,857337,,181493,
AL,Alabama,06/01/2021,N,U,Y,7456,,0,,7456,,10277,,3280,,13557,,722551,,1047619,,864820,,182799,
AL,Alabama,07/01/2021,N,U,Y,7683,,0,,7683,,11119,,3263,,14382,,726432,,1055463,,871396,,184067,
AL,Alabama,08/01/2021,N,U,Y,8422,,0,,8422,,11731,,3518,,15249,,730658,,1063643,,878418,,185225,
AL,Alabama,09/01/2021,N,U,Y,7233,,0,,7233,,10109,,2920,,13029,,734890,,1071373,,884776,,186597,
AL,Alabama,10/01/2021,N,U,Y,7263,,0,,7263,,10581,,2975,,13556,,737998,,1077703,,890722,,186981,
AL,Alabama,11/01/2021,N,U,Y,6940,,0,,6940,,9038,,2816,,11854,,741380,,1084743,,896755,,187988,
AL,Alabama,12/01/2021,N,U,Y,6659,,0,,6659,,9251,,2644,,11895,,744769,,1091996,,903222,,188774,
AL,Alabama,01/01/2022,N,U,Y,7331,,0,,7331,,9514,,2776,,12290,,748341,,1099586,,909615,,189971,
AL,Alabama,02/01/2022,N,U,Y,6650,,0,,6650,,9032,,2585,,11617,,751117,,1105544,,914715,,190829,
AL,Alabama,03/01/2022,N,U,Y,7387,,0,,7387,,10174,,2905,,13079,,753958,,1111770,,920105,,191665,
AL,Alabama,04/01/2022,N,U,Y,6588,,0,,6588,,9038,,3110,,12148,,756371,,1117611,,925610,,192001,
AL,Alabama,05/01/2022,N,U,Y,6906,,0,,6906,,9231,,2978,,12209,,759181,,1124220,,931468,,192752,
AL,Alabama,06/01/2022,N,U,Y,7031,,0,,7031,,9167,,3110,,12277,,762134,,1131459,,937870,,193589,
AL,Alabama,07/01/2022,N,U,Y,7174,,0,,7174,,9740,,3017,,12757,,765240,,1138406,,944037,,194369,
AL,Alabama,08/01/2022,N,U,Y,8413,,0,,8413,,10794,,3255,,14049,,768824,,1145553,,950124,,195429,
AL,Alabama,09/01/2022,N,U,Y,7053,,0,,7053,,9188,,2737,,11925,,772120,,1152359,,956095,,196264,
AL,Alabama,10/01/2022,N,U,Y,6981,,0,,6981,,8635,,2858,,11493,,774641,,1158232,,961501,,196731,
AL,Alabama,11/01/2022,N,U,Y,6863,,0,,6863,,8343,,2760,,11103,,777629,,1164978,,967142,,197836,
AL,Alabama,12/01/2022,N,U,Y,6362,,0,,6362,,8541,,2594,,11135,,780261,,1171540,,973142,,198398,
AR,Arkansas,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,556851,,,,,
AR,Arkansas,06/01/2017,Y,U,Y,0,,0,,0,,0,,0,,0,,387986,,874237,,842290,,31947,
AR,Arkansas,11/01/2017,Y,U,Y,17877,,0,,17877,,10201,,333,,10534,,387654,,868166,,836536,,31630,
AR,Arkansas,12/01/2017,Y,U,Y,19191,,0,,19191,,10740,,345,,11085,,385082,,861955,,830270,,31685,
AR,Arkansas,08/01/2018,Y,U,Y,21955,,0,,21955,,11615,,392,,12007,,384508,,840382,,808583,,31799,
AR,Arkansas,09/01/2018,Y,U,Y,13915,,0,,13915,,0,,0,,0,,377650,,816144,,784671,,31473,
AR,Arkansas,10/01/2018,Y,U,Y,20474,,0,,20474,,0,,0,,0,,381727,,819894,,788177,,31717,
AR,Arkansas,11/01/2018,Y,U,Y,28959,,0,,28959,,9491,,588,,10079,,372307,,796053,,764096,,31957,
AR,Arkansas,12/01/2018,Y,U,Y,29159,,0,,29159,,9506,,547,,10053,,371954,,795700,,764096,,31604,
AR,Arkansas,01/01/2019,Y,U,Y,22763,,0,,22763,,9516,,382,,9898,,370923,,791648,,759851,,31797,
AR,Arkansas,02/01/2019,Y,U,Y,19769,,0,,19769,,7758,,303,,8061,,371051,,790831,,758722,,32109,
AR,Arkansas,03/01/2019,Y,U,Y,20328,,0,,20328,,9410,,444,,9854,,372234,,793914,,761756,,32158,
AR,Arkansas,04/01/2019,Y,U,Y,21996,,0,,21996,,9452,,407,,9859,,374587,,798105,,765254,,32851,
AR,Arkansas,05/01/2019,Y,U,Y,20625,,0,,20625,,8729,,361,,9090,,372110,,795017,,762210,,32807,
AR,Arkansas,06/01/2019,Y,U,Y,19135,,0,,19135,,8381,,327,,8708,,371513,,794025,,761140,,32885,
AR,Arkansas,07/01/2019,Y,U,Y,21294,,0,,21294,,9909,,330,,10239,,373504,,798044,,765363,,32681,
AR,Arkansas,08/01/2019,Y,U,Y,21808,,0,,21808,,15822,,1008,,16830,,373473,,798839,,765950,,32889,
AR,Arkansas,09/01/2019,Y,U,Y,19790,,0,,19790,,12078,,787,,12865,,373675,,800799,,768672,,32127,
AR,Arkansas,10/01/2019,Y,U,Y,21241,,0,,21241,,26461,,2352,,28813,,375726,,804662,,771346,,33316,
AR,Arkansas,11/01/2019,Y,U,Y,28421,,0,,28421,,12594,,1109,,13703,,375159,,802473,,768872,,33601,
AR,Arkansas,12/01/2019,Y,U,Y,30851,,0,,30851,,14941,,1367,,16308,,375123,,811360,,777252,,34108,
AR,Arkansas,01/01/2020,Y,U,Y,22830,,0,,22830,,15173,,1264,,16437,,373710,,808905,,774939,,33966,
AR,Arkansas,02/01/2020,Y,U,Y,19260,,0,,19260,,18427,,1064,,19491,,370840,,802939,,769245,,33694,
AR,Arkansas,03/01/2020,Y,U,Y,19615,,0,,19615,,12944,,929,,13873,,368735,,799896,,766706,,33190,
